Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Seneca Octavia,drama,0.00388,0.0022,0,0.00056,0.00017,0.00014,0.00059,0.00031,0,0.00003,0,0.00007,0.00003,0.00052,0.00035,0.00136,0.00196,0,0.00017,0.3254,35.44444,0.00017,0.00042,0.01136,0.0001,92.56311
Seneca Oedipus,drama,0.0027,0.00196,0,0.00031,0.00028,0.00012,0.00099,0.00006,0,0,0,0.00031,0.00009,0.00053,0.00043,0.00174,0.00283,0.00003,0.00003,0.2342,30.47368,0.0004,0.00009,0.01186,0.00016,89.43333
Seneca Phaedra,drama,0.0034,0.00246,0.00003,0.00056,0.00036,0.00023,0.00066,0.00013,0,0,0,0.00023,0.00003,0.00051,0.00066,0.00193,0.00282,0.00003,0.00005,0.22561,32.89,0.00051,0.00028,0.0118,0.00043,89.7631
Seneca Phoenissae,drama,0.005,0.00463,0.00005,0.0006,0.00051,0.00023,0.00074,0,0,0,0,0.00032,0.00009,0.00116,0.0013,0.00199,0.00467,0.00005,0.00009,0.33333,30.06173,0.00019,0.00014,0.01245,0,94.37555
Seneca Thyestes,drama,0.00249,0.00341,0.00003,0.00059,0.00021,0.00012,0.00083,0.00006,0,0.00003,0,0.00024,0.00009,0.00044,0.00092,0.00187,0.00323,0.00009,0.00009,0.232,32.92,0.00065,0.00036,0.01227,0.00015,94.21788
Seneca Troades,drama,0.00296,0.00383,0.00003,0.00033,0.00024,0.00024,0.00041,0.00014,0,0,0,0.0003,0,0.00062,0.00076,0.00177,0.00359,0.00003,0,0.27273,32.51923,0.00038,0.00035,0.0125,0.00038,88.7012
Silius Italicus Punica Part 1,epic,0.0009,0.00211,0,0.00047,0,0.00008,0.00023,0.00016,0,0,0,0.00031,0,0.00047,0.00035,0.00286,0.00043,0.00016,0.00008,0.16901,36.69048,0.00031,0.0002,0.01623,0.0002,115.14865
Silius Italicus Punica Part 10,epic,0.00136,0.00259,0.00004,0.00053,0.00008,0.00008,0.00041,0.00016,0,0,0,0.00058,0,0.00066,0.00095,0.00296,0.00049,0.00008,0.00008,0.20976,37.01754,0.00029,0.00041,0.01528,0.00016,113.72897
Silius Italicus Punica Part 11,epic,0.0017,0.00268,0,0.00031,0,0.00013,0.0004,0.00027,0,0,0,0.00036,0.00013,0.00085,0.00049,0.00304,0.00121,0.00009,0,0.21505,39.28889,0.00054,0.00018,0.01524,0.00018,108.07246
Silius Italicus Punica Part 12,epic,0.00108,0.00169,0,0.00075,0,0.00011,0.00061,0,0,0,0,0.00043,0,0.00068,0.00036,0.00284,0.00086,0.00011,0.00011,0.18644,41.38182,0.00018,0.00025,0.01707,0.00007,108.26848
Silius Italicus Punica Part 13,epic,0.00188,0.00291,0,0.00054,0.00003,0.00012,0.00033,0.00006,0.00003,0,0,0.00061,0,0.00036,0.00039,0.00233,0.00061,0.00021,0.00003,0.24296,35.77174,0.00015,0.00015,0.01513,0.00021,110.89262
Silius Italicus Punica Part 14,epic,0.00036,0.00182,0,0.00067,0,0.00024,0.00024,0.0002,0,0,0,0.00039,0.00008,0.00039,0.00028,0.00284,0.00016,0.00004,0,0.23789,39.54098,0.00008,0.00012,0.01484,0,109.23707
Silius Italicus Punica Part 15,epic,0.00185,0.00225,0,0.00036,0.00003,0.0001,0.0003,0.0003,0,0,0,0.00023,0.00003,0.00066,0.00053,0.00275,0.00079,0.0001,0.00003,0.18412,36.57377,0.00023,0.0003,0.01383,0.00003,101.76094
Silius Italicus Punica Part 16,epic,0.00201,0.0024,0.00004,0.00062,0,0.00004,0.00043,0.00031,0,0,0,0.00015,0.00004,0.00058,0.00043,0.00248,0.00077,0.00012,0.00008,0.24017,32.46154,0.00019,0.00023,0.01582,0.00012,105.54286
Silius Italicus Punica Part 17,epic,0.00186,0.00182,0,0.00054,0,0.00012,0.0005,0.00004,0,0,0,0.00041,0.00004,0.00083,0.0005,0.00248,0.00103,0.00012,0.00004,0.18653,33.95556,0.00029,0.00029,0.0168,0.00004,112.17593
Silius Italicus Punica Part 2,epic,0.00161,0.0021,0,0.00042,0.00008,0.00004,0.00046,0.00004,0,0,0,0.0005,0.00004,0.00038,0.00027,0.00287,0.00046,0,0.00004,0.14146,39.3871,0.00031,0.00015,0.01735,0.00015,122.24299
Silius Italicus Punica Part 3,epic,0.00145,0.00195,0,0.00031,0,0,0.00008,0.00011,0,0,0,0.00031,0.00008,0.00027,0.00034,0.00237,0.0005,0.00019,0,0.19397,42.60714,0.00015,0.00015,0.01619,0.00004,107.10246
Silius Italicus Punica Part 4,epic,0.00144,0.00154,0,0.00039,0.00003,0.0001,0.00023,0.0002,0,0,0,0.00052,0,0.00046,0.00036,0.00334,0.00062,0.00003,0.00003,0.14925,38.06818,0.0001,0.0001,0.01748,0.00016,107.38732
Silius Italicus Punica Part 5,epic,0.00125,0.00214,0,0.00052,0.00004,0.00032,0.00044,0.00012,0,0,0,0.0004,0,0.00028,0.00036,0.0031,0.00056,0.00028,0,0.20101,48.13333,0.00012,0.00016,0.01451,0.00012,118.16667
Silius Italicus Punica Part 6,epic,0.00216,0.00216,0,0.00046,0.00008,0.00004,0.00023,0.00011,0,0,0,0.00027,0,0.00027,0.00065,0.00262,0.00061,0.00008,0.00004,0.2,31.15686,0.00034,0.00015,0.01648,0.00023,104.89641
Silius Italicus Punica Part 7,epic,0.00163,0.00207,0,0.00033,0.00004,0.00011,0.00018,0.00007,0,0,0,0.00058,0.00007,0.00062,0.00058,0.00258,0.00073,0.00011,0,0.1841,35.14815,0.00018,0.00036,0.01671,0.00011,107.93725
Silius Italicus Punica Part 8,epic,0.00173,0.00257,0,0.0006,0,0.00012,0.00024,0.0002,0,0,0,0.0004,0.00004,0.00036,0.00028,0.00301,0.00056,0.00008,0,0.18534,35.625,0.00012,0.00008,0.01616,0.00004,101.95492
Silius Italicus Punica Part 9,epic,0.00174,0.00224,0,0.00058,0.00004,0.00012,0.00037,0.00017,0,0,0,0.00037,0.00008,0.00046,0.00046,0.00282,0.00083,0.00012,0.00004,0.22535,34.38889,0.00008,0.00017,0.01638,0.00012,105.30131
Statius Achilleid,epic,0.00256,0.00299,0,0.00024,0.00012,0.00028,0.00076,0.00002,0,0,0,0.00019,0.00012,0.00033,0.00078,0.00197,0.00166,0.00026,0.00002,0.265,41.44156,0.00021,0.00033,0.02073,0.00021,156.16296
