Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Tacitus Annales Part 4,history,0.00048,0.00401,0.00024,0.00082,0.00005,0.00064,0.00053,0.00056,0,0.00003,0.00005,0.00016,0.00006,0.00158,0.00089,0.00408,0.00016,0.00023,0.00006,0.4642,41.15415,0.00035,0.00034,0.01613,0,140.08578
Tacitus Annales Part 5,history,0.00094,0.00438,0.00031,0.00063,0,0.00047,0.00031,0.00047,0,0,0.00016,0.00031,0.00016,0.00125,0.00031,0.0047,0.00016,0.00063,0,0.39535,36.40909,0.00016,0.00031,0.01612,0,145.18182
Tacitus Annales Part 6,history,0.00051,0.00326,0.00016,0.00062,0,0.00042,0.00032,0.00072,0,0.00002,0,0.00032,0.00009,0.00099,0.00058,0.00406,0.00023,0.00039,0.00014,0.45645,40.70556,0.00025,0.00025,0.01558,0,146.82034
Tacitus De Origine Et Situ Germanorum Liber,history,0.00024,0.00344,0.00051,0.00063,0,0.00045,0.00088,0.00082,0,0,0.00003,0.00009,0.00018,0.00163,0.00115,0.00386,0.00009,0.00063,0.00009,0.35714,34.475,0.00015,0.00018,0.0208,0,111.50842
Tacitus Dialogus De Oratoribus,philosophy,0.00261,0.00511,0.00042,0.00063,0.00018,0.00057,0.00131,0.00044,0,0.00004,0.00009,0.00007,0.00011,0.0018,0.00136,0.00333,0.00096,0.00066,0.00007,0.64437,38.75472,0.0005,0.00055,0.02268,0,162.27164
Tacitus Historiae Part 1,history,0.00074,0.00208,0.00023,0.00057,0.00004,0.0005,0.00058,0.00046,0,0.00007,0.00005,0.00019,0,0.00161,0.00053,0.00357,0.0002,0.0005,0,0.35102,34.83628,0.00041,0.00024,0.01601,0,146.74206
Tacitus Historiae Part 2,history,0.00034,0.0022,0.00027,0.00076,0,0.00043,0.00094,0.00036,0,0.00004,0.00005,0.00014,0.00008,0.00124,0.00043,0.00367,0.00006,0.00059,0,0.34301,35.45726,0.00028,0.00022,0.01446,0,141.2554
Tacitus Historiae Part 3,history,0.00008,0.00264,0.00017,0.00082,0,0.00039,0.00075,0.00031,0,0.00003,0.00003,0.00025,0.0001,0.00141,0.00068,0.00334,0.00027,0.00043,0,0.36315,34.80645,0.00031,0.00017,0.01469,0,124.10745
Tacitus Historiae Part 4,history,0.00066,0.00245,0.00022,0.00068,0.00002,0.00053,0.00055,0.00064,0,0.00006,0.00004,0.0001,0.00004,0.00129,0.00067,0.00331,0.00028,0.00055,0,0.39268,37.05502,0.00027,0.00013,0.01518,0,131.21154
Tacitus Historiae Part 5,history,0.00042,0.00272,0.00014,0.00047,0,0.00047,0.00051,0.00033,0,0,0.00005,0.00014,0.00005,0.00103,0.00061,0.00384,0.00009,0.00042,0.00005,0.34118,34.57353,0.00019,0.00023,0.01573,0,123.47399
